"","year_month","gender","age","monthly_mean_total_spend_by_agegroup"
"345",2022-10-01,"Female","35 - 44 years",782.621101631492
"346",2022-10-01,"Female","45 - 54 years",508.944846025304
"347",2022-10-01,"Female","55 - 64 years",547.812274231678
"348",2022-10-01,"Female","65 and older",345.121301115242
"349",2022-11-01,"Female","18 - 24 years",453.917922031474
"350",2022-11-01,"Female","25 - 34 years",570.344882473173
"351",2022-11-01,"Female","35 - 44 years",679.050638719728
"352",2022-11-01,"Female","45 - 54 years",552.488619815668
"353",2022-11-01,"Female","55 - 64 years",589.248616211375
"354",2022-11-01,"Female","65 and older",378.194381139489
"355",2022-12-01,"Female","18 - 24 years",513.736700801425
"356",2022-12-01,"Female","25 - 34 years",525.591328282047
"357",2022-12-01,"Female","35 - 44 years",689.130164336985
"358",2022-12-01,"Female","45 - 54 years",569.294325304325
"359",2022-12-01,"Female","55 - 64 years",474.239485609308
"360",2022-12-01,"Female","65 and older",397.432687651332
"361",2023-01-01,"Female","18 - 24 years",444.407317436662
"362",2023-01-01,"Female","25 - 34 years",462.790290076336
"363",2023-01-01,"Female","35 - 44 years",478.710459469555
"364",2023-01-01,"Female","45 - 54 years",526.182170418006
"365",2023-01-01,"Female","55 - 64 years",464.545501551189
"366",2023-01-01,"Female","65 and older",231.716101694915
"367",2023-02-01,"Female","18 - 24 years",337.146550724638
"368",2023-02-01,"Female","25 - 34 years",428.182428376535
"369",2023-02-01,"Female","35 - 44 years",420.748620545073
"370",2023-02-01,"Female","45 - 54 years",403.56826059456
"371",2023-02-01,"Female","55 - 64 years",339.412875
"372",2023-02-01,"Female","65 and older",192.301013513514
"373",2023-03-01,"Female","18 - 24 years",175.251955307263
"374",2023-03-01,"Female","25 - 34 years",232.476615853659
"375",2023-03-01,"Female","35 - 44 years",405.867764227642
"376",2023-03-01,"Female","45 - 54 years",187.232701342282
"377",2023-03-01,"Female","55 - 64 years",185.571815920398
"378",2023-03-01,"Female","65 and older",88.5502247191011
"379",2023-05-01,"Female","65 and older",44.95
"380",2023-06-01,"Female","65 and older",115.93
"381",2023-07-01,"Female","65 and older",129.69
"382",2023-09-01,"Female","65 and older",19.95
